clip,snr,vad_acc,offline_vdr,offline_rpa,offline_rca,offline_gross_err,offline_median_cents,realtime_vdr,realtime_rpa,realtime_rca,realtime_gross_err,realtime_median_cents
0,-5 dB,0.948,0.8080808080808081,0.984375,0.984375,0.015625,19.54807472229004,0.7803030303030303,0.9773462783171522,0.9773462783171522,0.022653721682847898,19.54807472229004
1,-5 dB,0.986,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
2,-5 dB,0.998,0.8526570048309179,0.9858356940509915,0.9858356940509915,0.014164305949008499,19.81578826904297,0.8405797101449275,0.9741379310344828,0.9741379310344828,0.02586206896551724,19.81578826904297
3,-5 dB,0.878,0.41959798994974873,0.9281437125748503,0.9281437125748503,0.0718562874251497,19.836769104003906,0.4045226130653266,0.8757763975155279,0.8757763975155279,0.12422360248447205,19.942686080932617
4,-5 dB,0.882,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
5,-5 dB,0.968,0.5214521452145214,0.9810126582278481,0.9810126582278481,0.0189873417721519,9.999910354614258,0.504950495049505,0.9607843137254902,0.9607843137254902,0.0392156862745098,0.514682948589325
6,-5 dB,0.718,0.13333333333333333,0.22916666666666666,0.22916666666666666,0.7708333333333334,209.6901397705078,0.1388888888888889,0.18,0.18,0.82,239.90985107421875
7,-5 dB,0.878,0.07194244604316546,0.9,0.9,0.1,19.88776397705078,0.1079136690647482,1.0,1.0,0.0,19.732234954833984
8,-5 dB,0.966,0.9289617486338798,0.9088235294117647,0.9088235294117647,0.09117647058823529,19.670398712158203,0.8852459016393442,0.9197530864197531,0.9197530864197531,0.08024691358024691,19.670398712158203
9,-5 dB,0.94,0.5587529976019184,0.9570815450643777,0.9570815450643777,0.04291845493562232,19.819440841674805,0.47721822541966424,0.9547738693467337,0.9547738693467337,0.04522613065326633,19.819440841674805
10,-5 dB,0.804,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
11,-5 dB,0.772,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
