clip,snr,vad_acc,offline_vdr,offline_rpa,offline_rca,offline_gross_err,offline_median_cents,realtime_vdr,realtime_rpa,realtime_rca,realtime_gross_err,realtime_median_cents
0,-5 dB,0.914,0.3181818181818182,0.9682539682539683,0.9682539682539683,0.031746031746031744,20.06161880493164,0.3409090909090909,0.9703703703703703,0.9703703703703703,0.02962962962962963,19.836769104003906
1,-5 dB,0.97,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
2,-5 dB,0.996,0.27053140096618356,0.9285714285714286,0.9285714285714286,0.07142857142857142,19.81578826904297,0.2608695652173913,0.9259259259259259,0.9259259259259259,0.07407407407407407,19.765480041503906
3,-5 dB,0.736,0.0,nan,nan,nan,nan,0.017587939698492462,1.0,1.0,0.0,20.180551528930664
4,-5 dB,0.902,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
5,-5 dB,0.988,0.1716171617161716,1.0,1.0,0.0,19.82945442199707,0.16501650165016502,1.0,1.0,0.0,19.82945442199707
6,-5 dB,0.562,0.019444444444444445,0.0,0.0,1.0,80.12299346923828,0.025,0.0,0.0,1.0,99.76844787597656
7,-5 dB,0.696,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
8,-5 dB,0.952,0.3442622950819672,0.9682539682539683,0.9682539682539683,0.031746031746031744,19.670398712158203,0.4262295081967213,0.8974358974358975,0.8974358974358975,0.10256410256410256,19.94064712524414
9,-5 dB,0.94,0.21342925659472423,0.6966292134831461,0.6966292134831461,0.30337078651685395,19.989273071289062,0.1606714628297362,0.8507462686567164,0.8507462686567164,0.14925373134328357,19.523868560791016
10,-5 dB,0.894,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
11,-5 dB,0.754,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
12,-5 dB,0.804,0.14213197969543148,0.8928571428571429,0.8928571428571429,0.10714285714285714,20.006839752197266,0.12436548223350254,0.8775510204081632,0.8775510204081632,0.12244897959183673,19.82945442199707
13,-5 dB,0.978,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
14,-5 dB,0.754,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
15,-5 dB,0.95,0.0,nan,nan,nan,nan,0.05236907730673317,1.0,1.0,0.0,19.72764015197754
16,-5 dB,0.956,0.5073170731707317,0.9951923076923077,0.9951923076923077,0.004807692307692308,19.50539779663086,0.4195121951219512,0.9418604651162791,0.9418604651162791,0.05813953488372093,19.57072639465332
17,-5 dB,0.948,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
18,-5 dB,0.966,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
19,-5 dB,0.97,0.268361581920904,1.0,1.0,0.0,19.715173721313477,0.2796610169491525,0.9494949494949495,0.9494949494949495,0.050505050505050504,20.252246856689453
20,-5 dB,0.67,0.116991643454039,0.7619047619047619,0.7619047619047619,0.23809523809523808,39.81825256347656,0.10306406685236769,0.8108108108108109,0.8108108108108109,0.1891891891891892,20.04693603515625
21,-5 dB,0.938,0.09002433090024331,0.972972972972973,0.972972972972973,0.02702702702702703,20.25642204284668,0.0827250608272506,0.9411764705882353,0.9411764705882353,0.058823529411764705,20.244050979614258
22,-5 dB,0.842,0.12753623188405797,0.8636363636363636,0.8636363636363636,0.13636363636363635,19.57072639465332,0.08115942028985507,0.7857142857142857,0.7857142857142857,0.21428571428571427,20.449504852294922
23,-5 dB,0.84,0.7146171693735499,0.9707792207792207,0.9707792207792207,0.02922077922077922,19.473567962646484,0.6705336426914154,0.9480968858131488,0.9480968858131488,0.05190311418685121,19.473567962646484
24,-5 dB,0.988,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
25,-5 dB,0.806,0.0,nan,nan,nan,nan,0.04437869822485207,1.0,1.0,0.0,20.6351375579834
26,-5 dB,0.93,0.6351351351351351,0.9680851063829787,0.9680851063829787,0.031914893617021274,0.6613652110099792,0.45495495495495497,0.9603960396039604,0.9603960396039604,0.039603960396039604,0.691025972366333
27,-5 dB,0.594,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
28,-5 dB,0.968,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
29,-5 dB,0.942,0.3990498812351544,0.9345238095238095,0.9345238095238095,0.06547619047619048,20.17624282836914,0.39667458432304037,0.9041916167664671,0.9041916167664671,0.09580838323353294,20.17624282836914
30,-5 dB,0.964,0.8094117647058824,0.9883720930232558,0.9883720930232558,0.011627906976744186,19.338695526123047,0.7458823529411764,0.9716088328075709,0.9716088328075709,0.028391167192429023,0.6962569952011108
31,-5 dB,0.802,0.33176470588235296,0.851063829787234,0.851063829787234,0.14893617021276595,20.216854095458984,0.27058823529411763,0.8782608695652174,0.8782608695652174,0.12173913043478261,19.877164840698242
32,-5 dB,0.864,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
33,-5 dB,0.854,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
34,-5 dB,0.898,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
35,-5 dB,0.712,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
36,-5 dB,0.996,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
37,-5 dB,0.59,0.07537688442211055,1.0,1.0,0.0,0.6962569952011108,0.04773869346733668,1.0,1.0,0.0,0.5692873597145081
38,-5 dB,0.728,0.0,nan,nan,nan,nan,0.007556675062972292,1.0,1.0,0.0,19.473567962646484
