clip,snr,vad_acc,offline_vdr,offline_rpa,offline_rca,offline_gross_err,offline_median_cents,realtime_vdr,realtime_rpa,realtime_rca,realtime_gross_err,realtime_median_cents
18,-5 dB,0.976,0.5705128205128205,0.9269662921348315,0.9269662921348315,0.07303370786516854,19.819440841674805,0.4775641025641026,0.9261744966442953,0.9261744966442953,0.0738255033557047,19.83050537109375
19,-5 dB,0.698,0.3531073446327684,1.0,1.0,0.0,19.54807472229004,0.3502824858757062,1.0,1.0,0.0,19.40767478942871
20,-5 dB,0.56,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
21,-5 dB,0.938,0.20681265206812652,0.9764705882352941,0.9764705882352941,0.023529411764705882,19.768447875976562,0.2116788321167883,0.896551724137931,0.896551724137931,0.10344827586206896,19.92131805419922
22,-5 dB,0.95,0.4,0.9637681159420289,0.9637681159420289,0.036231884057971016,19.72764015197754,0.4115942028985507,0.9295774647887324,0.9295774647887324,0.07042253521126761,19.849655151367188
23,-5 dB,0.856,0.7587006960556845,0.9755351681957186,0.9755351681957186,0.024464831804281346,19.473567962646484,0.7122969837587007,0.9739413680781759,0.9739413680781759,0.026058631921824105,19.473567962646484
24,-5 dB,0.846,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
25,-5 dB,0.816,0.10355029585798817,1.0,1.0,0.0,19.705047607421875,0.07100591715976332,1.0,1.0,0.0,10.072514533996582
26,-5 dB,0.948,0.8941441441441441,0.9571788413098237,0.9571788413098237,0.042821158690176324,20.284786224365234,0.8648648648648649,0.9557291666666666,0.9557291666666666,0.044270833333333336,20.31517791748047
27,-5 dB,0.462,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
28,-5 dB,0.002,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
29,-5 dB,0.904,0.25653206650831356,0.9537037037037037,0.9537037037037037,0.046296296296296294,20.661243438720703,0.2826603325415677,0.9243697478991597,0.9243697478991597,0.07563025210084033,20.661243438720703
30,-5 dB,0.994,0.9247058823529412,0.9949109414758269,0.9949109414758269,0.005089058524173028,0.59230637550354,0.92,0.9846547314578005,0.9846547314578005,0.015345268542199489,0.6352484226226807
31,-5 dB,0.754,0.07058823529411765,1.0,1.0,0.0,19.916980743408203,0.09647058823529411,0.926829268292683,0.926829268292683,0.07317073170731707,19.916980743408203
32,-5 dB,0.912,0.3468208092485549,0.9333333333333333,0.9333333333333333,0.06666666666666667,19.669979095458984,0.4393063583815029,0.8421052631578947,0.8421052631578947,0.15789473684210525,19.96818733215332
33,-5 dB,0.854,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
34,-5 dB,0.084,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
35,-5 dB,0.604,0.04918032786885246,0.75,0.75,0.25,19.92272186279297,0.020491803278688523,0.4,0.4,0.6,99.74351501464844
36,-5 dB,0.012,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
37,-5 dB,0.526,0.15829145728643215,1.0,1.0,0.0,0.6962569952011108,0.13819095477386933,1.0,1.0,0.0,0.6962569952011108
